2020,2030,2040,2050,2060,2070,2080,2090,2100
41329.411066954184,54217.919425030894,70334.22174488782,89744.00315652869,112257.73949094648,137476.91420670308,164953.04970267764,193326.92693341844,222043.42097490083
38382.81415665356,50388.477472701314,65451.60110920609,83643.824653738,104798.15764405728,128551.23331046876,154492.86232462333,181285.7017855713,208388.0142886482
35657.576148842105,46834.33458408168,60904.80953942973,77944.72587861994,97807.33783978876,120162.07019716964,144635.36453040197,169910.7258930792,195457.68909378664
26950.069341567112,35387.86985623941,46127.10434899172,59213.203618597196,74499.94845206631,91684.23711838454,110615.02730431344,131274.73404145753,152310.3526273244
48675.60276635344,63750.56063634599,82506.43650002102,105029.84186926844,131107.63553216783,160108.34804979974,190465.361386904,221635.85095060087,253979.68957599165
51616.41003719649,67527.4085466445,87267.86026312428,110912.75079322676,138221.20360057458,168522.90886742293,200224.97637275408,232770.4478880373,266496.4869120649
20066.851362080728,26279.405379198914,34285.32099424381,44096.671120367595,55560.492251120646,68340.22695241495,82168.29582934923,97054.59551793759,113170.15544546914
130874.86480186785,165562.84528618824,206579.79982509254,253324.16437104827,303893.7242261241,356561.0719884346,410396.94376396784,464332.0579489489,517263.0313472636
146241.5347856924,183814.0570610732,227902.5448618179,277763.1468256693,331330.59071095154,386683.5702661404,442690.1103231376,498115.50755613286,551712.1298707267
32950.65618343657,43292.21888571214,56358.58309094286,72227.96683889368,90773.10871334872,111696.38448123913,134662.15443901147,158375.47532370774,182315.8960544709
43015.36942401606,56402.83713189454,73112.57388640911,93206.21876824541,116481.07444294833,142518.61207515065,170848.9260618664,200100.49802354214,229710.0297685803
31827.07814820375,41803.803647623194,54405.0345819849,69677.44090887366,87445.02211925563,107356.17831531739,129209.97415522879,152923.39300541452,177089.89287883896
30596.03007005385,40187.75868298422,52324.56301471109,67053.39365907088,84205.96985995036,103442.95188876736,124575.97508730087,147537.84267918137,170934.90307509975
80586.92523029243,104184.8434115905,132878.4755330955,166598.9439078126,204668.8062886578,245209.67073101376,287176.36164654105,330625.80084857385,374935.12081916747
58050.21152117467,75746.4367076368,97577.83936742856,123590.95476696666,153483.42348547763,186501.61475306313,220995.50706507318,256373.62298339698,292920.5466406692
29169.030388149433,38311.52482236728,49905.26822802639,63997.05634230535,80427.38544389288,98871.10614197471,119154.4406201492,141229.07021289587,163716.77548462027
67905.50132371638,88226.44943309494,113104.27923893818,142535.10145274518,176119.9647080244,212979.88364152855,251376.78766083607,290657.79073536233,331020.28572235175
106259.82503747173,135782.0619058708,171125.3612402167,212030.77881762857,257538.78521981137,305497.5404092837,354606.0615641208,404658.7211018506,454785.37716355454
54952.68059077588,71796.77711126965,92632.04929917475,117519.21582933769,146185.6622246576,177917.64376406703,211092.62387707998,245136.3371841642,280359.1545665839
13108.116708837752,17051.86100197441,22220.693229821685,28602.840530673904,36100.9821826014,44458.056598744384,53415.05610676773,62866.93102865461,72731.08413031057
66920.80304175835,86985.2043008559,111566.7182087906,140666.8285635184,173896.37606252293,210388.84390243,248415.03193768775,287328.6130112092,327336.01136704563
35657.576148842105,46834.33458408168,60904.80953942973,77944.72587861994,97807.33783978876,120162.07019716964,144635.36453040197,169910.7258930792,195457.68909378664
20441.10247268182,26775.873131784494,34932.21277160289,44923.02744780202,56592.66315789813,69600.40378137685,83676.353825587,98829.86371668667,115229.17640830399
65334.780357948606,84983.36449715713,109083.93588263325,137646.48291558365,170297.55040824547,206190.7186985053,243611.03364556006,281922.543267841,321346.07807799877
29575.6537648206,38846.47758600689,50595.482050360326,64869.56180326856,81506.73088949954,100177.79812153253,120704.82697695984,143034.0554315238,165782.8092638158
26350.529826161677,34596.6886435578,45102.948902815304,57914.117900581805,72887.4916506472,89725.92761525072,108284.54048481406,128554.38538698285,149189.56141637516
40065.64416601007,52577.20125544136,68244.32626398516,87135.44000467772,109070.76113332153,133666.81708624918,160491.40781866247,188194.6284213176,216227.24023513577
25952.299753767285,34070.8830643143,44421.9055367766,57049.69663608032,71813.87050214555,88421.24458418903,106731.02686720734,126740.10035715811,147107.35857398718
89062.4473793517,114693.7747566083,145689.96715223134,181922.93376814865,222624.0006534376,265826.42768970336,310404.78979084216,356333.5101993893,402909.36885801016
72335.03516019796,93873.92338047622,120215.44787350476,151344.82342582772,186672.03784023388,224403.28585150477,263566.94731388794,304295.27525336156,346041.6755373094
53913.35842976469,70468.49734792403,90965.18388629792,115468.69768476958,143716.34372333286,175007.84786651772,207729.8989866438,241313.76370491085,276078.2720716154
71949.38359573588,93390.04500787679,119618.8530717835,150623.46139357123,185817.9178529518,223412.34396211267,262438.4392091128,303031.8430220869,344649.46985522565
28358.591496875997,37244.56165773204,48527.62811818025,62254.25357813241,78269.83714509051,96257.28254789265,116051.10702607689,137614.00621272373,159576.78577902465
83116.53584192588,107329.75768210666,136722.28985942897,171207.9611480147,210082.2708220918,251440.63364812476,294214.40020211856,338436.3755727713,383459.8982628392
59484.168200496264,77570.35824476027,99856.46163757582,126382.16177612921,156831.23397510409,190431.6908805499,225520.7757964647,261498.68782046498,298637.79395827674
123957.18542737068,157179.80594775296,196579.6259114054,241749.027391863,291523.00875667523,343550.29557103396,396334.6779080648,449472.7921653403,501921.6184689675
89233.07879379136,114904.52979240421,145945.9499037211,182228.01944821002,222980.2102291039,266233.9854924957,310862.25887251366,356837.7451280237,403455.58951166295
17470.915286311763,22836.049401923854,29793.035301179698,38345.04008402131,48353.66452691189,59499.607560128105,71497.78735416086,84280.32604432777,97888.05140033658
39855.12766513038,52303.64641702315,67895.58206171099,86699.78518805839,108538.0861296579,133029.52257564923,159744.6259298041,187335.05207843584,215252.5221651984
54121.47443053962,70734.598681341,91299.26196137808,115879.83885772541,144211.65044722412,175591.72119823226,208404.89218213537,242081.33230143692,276938.1857333877
74249.80408054985,96273.70324831977,123171.10813267314,154915.00490499503,190895.19323734043,229298.34140975378,269136.1874811823,310523.9864309777,352897.6456246192
28156.592326664093,36978.47028791292,48183.847245450204,61819.07393375677,77730.76229476651,95603.82295977368,115274.84213875652,136709.2968135582,158540.2738557704
40697.40299636214,53397.71493168552,69289.85385133218,88440.90592843483,110666.23375101683,135574.83901848109,162726.35956850462,190766.2229292762,219142.27428991633
27753.357707256488,36447.11130548949,47497.09973401796,60949.41470816102,76653.07837010425,94297.00748403285,113721.92027392873,134898.8912314404,156465.60059690455
40276.197630075876,52850.73361784811,68592.95625069088,87570.84896351866,109603.01520209713,134303.47298697106,161237.29624897204,189053.02179782945,217200.44500959708
30596.03007005385,40187.75868298422,52324.56301471109,67053.39365907088,84205.96985995036,103442.95188876736,124575.97508730087,147537.84267918137,170934.90307509975
87515.83889844076,112782.04288363265,143366.29343315292,179151.57295771895,219385.98130899965,262119.0292333533,306240.2696576982,351739.52994290035,397928.3792401054
107270.63511929713,137012.27145431246,172598.2835137125,213761.60798840603,259531.2338852111,307744.17761632346,357088.6674604217,407348.0650246523,457642.33484885725
34822.352685314756,45742.67214799562,59505.274096304674,76186.83001377273,95646.67539112199,117564.35605270477,141577.83056610954,166377.15032120695,191435.07234829888
72335.03516019796,93873.92338047622,120215.44787350476,151344.82342582772,186672.03784023388,224403.28585150477,263566.94731388794,304295.27525336156,346041.6755373094
50358.178820285066,65913.05160522475,85234.52994667168,108402.68783983222,135188.54194808577,164938.32749264373,196070.37209298403,228033.8970229835,261175.8898093619
67708.97229143057,87978.81630548854,112797.64507893834,142162.6473144153,175676.8285642763,212463.69155664401,250786.93773431832,289994.99718362663,330287.07049736514
54329.46637684302,71000.47930001226,91632.98970941303,116290.46353114268,144706.23793087198,176174.63964304017,209078.66330920893,242847.37573529608,277796.23220428923
113916.48758684353,145075.9944142961,182224.01020416943,225038.95005951828,272473.55193789914,322290.8171692061,373106.8895249195,424631.7924630637,475920.4188520249
135696.28678129148,171311.45132987623,213322.02157803206,261082.73255087395,312641.0786199177,366209.6637164402,420796.25035547966,475279.81317812786,528511.064387813
32445.0411267681,42614.127438132506,55447.07785310067,70990.28537922843,89063.82297840464,109309.92775793797,131521.35656627413,155607.2958608229,180154.86637193704
101498.86153307612,129974.14557361654,164155.6121152087,203821.93119331123,248067.2470550607,294791.80429915385,342744.77545247023,391771.821529218,441049.3322619967
40486.784938867655,53124.23949870871,68941.46707662748,88006.00620197217,110134.84161691257,134939.48276412272,161982.28289590936,189910.22298671404,218172.12634514715
31621.438274357894,41534.017929885944,54057.930145469145,69239.91724892837,86905.27777489819,106704.46131479234,128438.63184135448,152027.38790666964,176066.31554914126
20066.851362080728,26279.405379198914,34285.32099424381,44096.671120367595,55560.492251120646,68340.22695241495,82168.29582934923,97054.59551793759,113170.15544546914
57844.73287592159,75484.84611700595,97250.76196386036,123189.9830382375,153002.13171865704,185936.2126345715,220344.0281650382,255635.27547733474,292096.2751889939
38172.70852104334,50114.891508848865,65102.1276046006,83206.42251461672,104262.36763348398,127909.11327698999,153739.24811970093,180417.01248090016,207401.57744961543
49938.02976050648,65373.461963867565,84554.28095863035,107562.22234495025,134172.26521765228,163736.19287162268,194676.0856971096,226443.18468416436,259387.7222517157
42383.09078716305,55583.958321865066,72071.91241820718,91910.16086565677,114900.96965671016,140633.30838878182,168645.2720067653,197569.93979564,226847.12061997643
47621.57449506048,62393.72142190727,80792.127853438,102907.33781532047,128536.09924307436,157061.02135395524,186924.95698834688,217589.87929871207,249423.58148623764
21996.278264186432,28835.692458829028,37614.96766438944,48356.542888125194,60909.724678470004,74952.98548180053,90280.84032113248,107014.68161207254,125239.97611927518
88033.56076274248,113422.27844731763,144144.8266604616,180080.4942402527,220471.7726647429,263362.73951452854,307637.9499772112,353282.0914471048,399601.78809442057
60706.90804428666,79123.40531022754,101794.07871473783,128752.63229825083,159670.9692515628,193761.49238721302,229350.57248619883,265831.1395826858,303465.0095296663
51197.38534843549,66990.04420025363,86591.34151557504,110077.97592621064,137213.0361600481,167331.7111422386,198844.8433703927,231197.55419880472,264730.29634706804
23151.054544196566,30365.142749509938,39603.13728633236,50889.65640532313,64066.86531450126,78802.01276172703,94882.07368953369,112420.84542300813,131481.39295135025
47832.51090976232,62665.39269502068,81135.53381930335,103332.70165801773,129051.66719573416,157672.21473504446,187635.29889308353,218401.94427165127,250338.3685388349
