damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,CO2,3%,2085,106
MimiIWG,CO2,3%,2086,106
MimiIWG,CO2,3%,2087,107
MimiIWG,CO2,3%,2088,107
MimiIWG,CO2,3%,2089,108
MimiIWG,CO2,3%,2090,108
MimiIWG,CO2,3%,2091,109
MimiIWG,CO2,3%,2092,109
MimiIWG,CO2,3%,2093,110
MimiIWG,CO2,3%,2094,110
MimiIWG,CO2,3%,2095,111
MimiIWG,CO2,3%,2096,111
MimiIWG,CO2,3%,2097,112
MimiIWG,CO2,3%,2098,112
MimiIWG,CO2,3%,2099,113
MimiIWG,CO2,3%,2100,113
MimiIWG,HFC125,2%,2020,410697
MimiIWG,HFC125,2%,2021,420399
MimiIWG,HFC125,2%,2022,430101
MimiIWG,HFC125,2%,2023,439803
MimiIWG,HFC125,2%,2024,449504
MimiIWG,HFC125,2%,2025,459206
MimiIWG,HFC125,2%,2026,468908
MimiIWG,HFC125,2%,2027,478610
MimiIWG,HFC125,2%,2028,488311
MimiIWG,HFC125,2%,2029,498013
MimiIWG,HFC125,2%,2030,507715
MimiIWG,HFC125,2%,2031,518544
MimiIWG,HFC125,2%,2032,529373
MimiIWG,HFC125,2%,2033,540203
MimiIWG,HFC125,2%,2034,551032
MimiIWG,HFC125,2%,2035,561861
MimiIWG,HFC125,2%,2036,572690
MimiIWG,HFC125,2%,2037,583520
MimiIWG,HFC125,2%,2038,594349
MimiIWG,HFC125,2%,2039,605178
MimiIWG,HFC125,2%,2040,616007
MimiIWG,HFC125,2%,2041,627021
MimiIWG,HFC125,2%,2042,638035
MimiIWG,HFC125,2%,2043,649049
MimiIWG,HFC125,2%,2044,660063
MimiIWG,HFC125,2%,2045,671077
MimiIWG,HFC125,2%,2046,682091
MimiIWG,HFC125,2%,2047,693105
MimiIWG,HFC125,2%,2048,704119
MimiIWG,HFC125,2%,2049,715133
MimiIWG,HFC125,2%,2050,726147
MimiIWG,HFC125,2%,2051,735552
MimiIWG,HFC125,2%,2052,744957
MimiIWG,HFC125,2%,2053,754362
MimiIWG,HFC125,2%,2054,763767
MimiIWG,HFC125,2%,2055,773172
MimiIWG,HFC125,2%,2056,782577
MimiIWG,HFC125,2%,2057,791982
MimiIWG,HFC125,2%,2058,801387
MimiIWG,HFC125,2%,2059,810792
MimiIWG,HFC125,2%,2060,820197
MimiIWG,HFC125,2%,2061,839069
MimiIWG,HFC125,2%,2062,857941
MimiIWG,HFC125,2%,2063,876813
MimiIWG,HFC125,2%,2064,895685
MimiIWG,HFC125,2%,2065,914557
MimiIWG,HFC125,2%,2066,933429
MimiIWG,HFC125,2%,2067,952301
MimiIWG,HFC125,2%,2068,971173
MimiIWG,HFC125,2%,2069,990045
MimiIWG,HFC125,2%,2070,1008917
MimiIWG,HFC125,2%,2071,1028241
MimiIWG,HFC125,2%,2072,1047566
MimiIWG,HFC125,2%,2073,1066890
MimiIWG,HFC125,2%,2074,1086214
MimiIWG,HFC125,2%,2075,1105538
MimiIWG,HFC125,2%,2076,1124862
MimiIWG,HFC125,2%,2077,1144186
MimiIWG,HFC125,2%,2078,1163510
MimiIWG,HFC125,2%,2079,1182834
MimiIWG,HFC125,2%,2080,1202158
MimiIWG,HFC125,2%,2081,1211345
MimiIWG,HFC125,2%,2082,1220531
MimiIWG,HFC125,2%,2083,1229718
MimiIWG,HFC125,2%,2084,1238904
MimiIWG,HFC125,2%,2085,1248091
MimiIWG,HFC125,2%,2086,1257277
MimiIWG,HFC125,2%,2087,1266464
MimiIWG,HFC125,2%,2088,1275650
MimiIWG,HFC125,2%,2089,1284837
MimiIWG,HFC125,2%,2090,1294023
MimiIWG,HFC125,2%,2091,1303375
MimiIWG,HFC125,2%,2092,1312727
MimiIWG,HFC125,2%,2093,1322079
MimiIWG,HFC125,2%,2094,1331431
MimiIWG,HFC125,2%,2095,1340783
MimiIWG,HFC125,2%,2096,1350135
MimiIWG,HFC125,2%,2097,1359487
MimiIWG,HFC125,2%,2098,1368839
MimiIWG,HFC125,2%,2099,1378191
MimiIWG,HFC125,2%,2100,1387543
MimiIWG,HFC125,3%,2020,211191
MimiIWG,HFC125,3%,2021,217610
MimiIWG,HFC125,3%,2022,224029
MimiIWG,HFC125,3%,2023,230448
MimiIWG,HFC125,3%,2024,236867
MimiIWG,HFC125,3%,2025,243286
MimiIWG,HFC125,3%,2026,249705
MimiIWG,HFC125,3%,2027,256123
MimiIWG,HFC125,3%,2028,262542
MimiIWG,HFC125,3%,2029,268961
MimiIWG,HFC125,3%,2030,275380
MimiIWG,HFC125,3%,2031,282859
MimiIWG,HFC125,3%,2032,290338
MimiIWG,HFC125,3%,2033,297817
MimiIWG,HFC125,3%,2034,305295
MimiIWG,HFC125,3%,2035,312774
MimiIWG,HFC125,3%,2036,320253
MimiIWG,HFC125,3%,2037,327732
MimiIWG,HFC125,3%,2038,335211
MimiIWG,HFC125,3%,2039,342689
MimiIWG,HFC125,3%,2040,350168
MimiIWG,HFC125,3%,2041,358163
MimiIWG,HFC125,3%,2042,366158
MimiIWG,HFC125,3%,2043,374153
MimiIWG,HFC125,3%,2044,382148
MimiIWG,HFC125,3%,2045,390143
MimiIWG,HFC125,3%,2046,398138
MimiIWG,HFC125,3%,2047,406132
MimiIWG,HFC125,3%,2048,414127
MimiIWG,HFC125,3%,2049,422122
MimiIWG,HFC125,3%,2050,430117
MimiIWG,HFC125,3%,2051,437299
MimiIWG,HFC125,3%,2052,444482
MimiIWG,HFC125,3%,2053,451664
MimiIWG,HFC125,3%,2054,458846
MimiIWG,HFC125,3%,2055,466028
MimiIWG,HFC125,3%,2056,473211
MimiIWG,HFC125,3%,2057,480393
MimiIWG,HFC125,3%,2058,487575
MimiIWG,HFC125,3%,2059,494758
MimiIWG,HFC125,3%,2060,501940
MimiIWG,HFC125,3%,2061,517727
MimiIWG,HFC125,3%,2062,533514
MimiIWG,HFC125,3%,2063,549300
MimiIWG,HFC125,3%,2064,565087
MimiIWG,HFC125,3%,2065,580874
MimiIWG,HFC125,3%,2066,596661
MimiIWG,HFC125,3%,2067,612448
MimiIWG,HFC125,3%,2068,628235
MimiIWG,HFC125,3%,2069,644022
MimiIWG,HFC125,3%,2070,659809
MimiIWG,HFC125,3%,2071,676028
MimiIWG,HFC125,3%,2072,692247
MimiIWG,HFC125,3%,2073,708466
MimiIWG,HFC125,3%,2074,724684
MimiIWG,HFC125,3%,2075,740903
MimiIWG,HFC125,3%,2076,757122
MimiIWG,HFC125,3%,2077,773341
MimiIWG,HFC125,3%,2078,789560
MimiIWG,HFC125,3%,2079,805779
MimiIWG,HFC125,3%,2080,821998
MimiIWG,HFC125,3%,2081,828347
MimiIWG,HFC125,3%,2082,834697
MimiIWG,HFC125,3%,2083,841046
MimiIWG,HFC125,3%,2084,847396
MimiIWG,HFC125,3%,2085,853745
MimiIWG,HFC125,3%,2086,860094
MimiIWG,HFC125,3%,2087,866444
MimiIWG,HFC125,3%,2088,872793
MimiIWG,HFC125,3%,2089,879143
MimiIWG,HFC125,3%,2090,885492
MimiIWG,HFC125,3%,2091,892107
MimiIWG,HFC125,3%,2092,898722
MimiIWG,HFC125,3%,2093,905337
MimiIWG,HFC125,3%,2094,911952
