damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG_FAIRv162,HFC125,3%,2043,224298
MimiIWG_FAIRv162,HFC125,3%,2044,230398
MimiIWG_FAIRv162,HFC125,3%,2045,236497
MimiIWG_FAIRv162,HFC125,3%,2046,242597
MimiIWG_FAIRv162,HFC125,3%,2047,248696
MimiIWG_FAIRv162,HFC125,3%,2048,254796
MimiIWG_FAIRv162,HFC125,3%,2049,260895
MimiIWG_FAIRv162,HFC125,3%,2050,266995
MimiIWG_FAIRv162,HFC125,3%,2051,273849
MimiIWG_FAIRv162,HFC125,3%,2052,280704
MimiIWG_FAIRv162,HFC125,3%,2053,287558
MimiIWG_FAIRv162,HFC125,3%,2054,294413
MimiIWG_FAIRv162,HFC125,3%,2055,301267
MimiIWG_FAIRv162,HFC125,3%,2056,308121
MimiIWG_FAIRv162,HFC125,3%,2057,314976
MimiIWG_FAIRv162,HFC125,3%,2058,321830
MimiIWG_FAIRv162,HFC125,3%,2059,328685
MimiIWG_FAIRv162,HFC125,3%,2060,335539
MimiIWG_FAIRv162,HFC125,3%,2061,344390
MimiIWG_FAIRv162,HFC125,3%,2062,353240
MimiIWG_FAIRv162,HFC125,3%,2063,362091
MimiIWG_FAIRv162,HFC125,3%,2064,370941
MimiIWG_FAIRv162,HFC125,3%,2065,379792
MimiIWG_FAIRv162,HFC125,3%,2066,388642
MimiIWG_FAIRv162,HFC125,3%,2067,397493
MimiIWG_FAIRv162,HFC125,3%,2068,406343
MimiIWG_FAIRv162,HFC125,3%,2069,415194
MimiIWG_FAIRv162,HFC125,3%,2070,424044
MimiIWG_FAIRv162,HFC125,3%,2071,433352
MimiIWG_FAIRv162,HFC125,3%,2072,442660
MimiIWG_FAIRv162,HFC125,3%,2073,451968
MimiIWG_FAIRv162,HFC125,3%,2074,461276
MimiIWG_FAIRv162,HFC125,3%,2075,470584
MimiIWG_FAIRv162,HFC125,3%,2076,479892
MimiIWG_FAIRv162,HFC125,3%,2077,489201
MimiIWG_FAIRv162,HFC125,3%,2078,498509
MimiIWG_FAIRv162,HFC125,3%,2079,507817
MimiIWG_FAIRv162,HFC125,3%,2080,517125
MimiIWG_FAIRv162,HFC125,3%,2081,524145
MimiIWG_FAIRv162,HFC125,3%,2082,531165
MimiIWG_FAIRv162,HFC125,3%,2083,538185
MimiIWG_FAIRv162,HFC125,3%,2084,545206
MimiIWG_FAIRv162,HFC125,3%,2085,552226
MimiIWG_FAIRv162,HFC125,3%,2086,559246
MimiIWG_FAIRv162,HFC125,3%,2087,566267
MimiIWG_FAIRv162,HFC125,3%,2088,573287
MimiIWG_FAIRv162,HFC125,3%,2089,580307
MimiIWG_FAIRv162,HFC125,3%,2090,587327
MimiIWG_FAIRv162,HFC125,3%,2091,595062
MimiIWG_FAIRv162,HFC125,3%,2092,602797
MimiIWG_FAIRv162,HFC125,3%,2093,610532
MimiIWG_FAIRv162,HFC125,3%,2094,618267
MimiIWG_FAIRv162,HFC125,3%,2095,626002
MimiIWG_FAIRv162,HFC125,3%,2096,633737
MimiIWG_FAIRv162,HFC125,3%,2097,641472
MimiIWG_FAIRv162,HFC125,3%,2098,649207
MimiIWG_FAIRv162,HFC125,3%,2099,656942
MimiIWG_FAIRv162,HFC125,3%,2100,664677
MimiIWG_FAIRv162,HFC134a,3%,2020,45472
MimiIWG_FAIRv162,HFC134a,3%,2021,47175
MimiIWG_FAIRv162,HFC134a,3%,2022,48879
MimiIWG_FAIRv162,HFC134a,3%,2023,50582
MimiIWG_FAIRv162,HFC134a,3%,2024,52285
MimiIWG_FAIRv162,HFC134a,3%,2025,53989
MimiIWG_FAIRv162,HFC134a,3%,2026,55692
MimiIWG_FAIRv162,HFC134a,3%,2027,57395
MimiIWG_FAIRv162,HFC134a,3%,2028,59099
MimiIWG_FAIRv162,HFC134a,3%,2029,60802
MimiIWG_FAIRv162,HFC134a,3%,2030,62505
MimiIWG_FAIRv162,HFC134a,3%,2031,64733
MimiIWG_FAIRv162,HFC134a,3%,2032,66961
MimiIWG_FAIRv162,HFC134a,3%,2033,69189
MimiIWG_FAIRv162,HFC134a,3%,2034,71417
MimiIWG_FAIRv162,HFC134a,3%,2035,73645
MimiIWG_FAIRv162,HFC134a,3%,2036,75873
MimiIWG_FAIRv162,HFC134a,3%,2037,78101
MimiIWG_FAIRv162,HFC134a,3%,2038,80329
MimiIWG_FAIRv162,HFC134a,3%,2039,82557
MimiIWG_FAIRv162,HFC134a,3%,2040,84785
MimiIWG_FAIRv162,HFC134a,3%,2041,87561
MimiIWG_FAIRv162,HFC134a,3%,2042,90337
MimiIWG_FAIRv162,HFC134a,3%,2043,93114
MimiIWG_FAIRv162,HFC134a,3%,2044,95890
MimiIWG_FAIRv162,HFC134a,3%,2045,98666
MimiIWG_FAIRv162,HFC134a,3%,2046,101443
MimiIWG_FAIRv162,HFC134a,3%,2047,104219
MimiIWG_FAIRv162,HFC134a,3%,2048,106996
MimiIWG_FAIRv162,HFC134a,3%,2049,109772
MimiIWG_FAIRv162,HFC134a,3%,2050,112548
MimiIWG_FAIRv162,HFC134a,3%,2051,115559
MimiIWG_FAIRv162,HFC134a,3%,2052,118571
MimiIWG_FAIRv162,HFC134a,3%,2053,121582
MimiIWG_FAIRv162,HFC134a,3%,2054,124593
MimiIWG_FAIRv162,HFC134a,3%,2055,127604
MimiIWG_FAIRv162,HFC134a,3%,2056,130615
MimiIWG_FAIRv162,HFC134a,3%,2057,133626
MimiIWG_FAIRv162,HFC134a,3%,2058,136637
MimiIWG_FAIRv162,HFC134a,3%,2059,139648
MimiIWG_FAIRv162,HFC134a,3%,2060,142659
MimiIWG_FAIRv162,HFC134a,3%,2061,147194
