2020,2030,2040,2050,2060,2070,2080
11397.106419185033,15983.434759163529,23165.462887127615,33950.822489294005,32987.868585009935,66856.75786432141,100725.64714363289
32682.20949372076,46608.48505205938,66243.26776936106,94165.40374852347,108296.73259727849,181164.97560211323,254033.218606948
7609.229156586633,10248.986857062033,13867.41505761854,19455.100011210252,19428.778891962622,34927.62491307562,50426.47093418861
7925.234547071495,11240.281013464624,16304.696201667175,24143.74550256597,23459.97037757577,50550.40116456212,77640.83195154848
15712.071956626305,21183.557915299563,29085.93888790947,40153.55862355655,44396.83781788332,71680.93898426683,98965.04015065033
10260.784819395762,14618.546702257814,21581.972508719853,32412.149424779884,35825.07205837565,71282.25793530635,106739.44381223703
11860.150578440744,17263.768987611227,25549.461450216557,37454.3260343167,39462.56990352488,76583.48640378704,113704.40290404919
4324.18790596554,4390.463612931211,4905.089684504962,5811.037753487296,5924.471781310968,10805.877006446046,15687.282231581125
5519.097894273198,7222.272921362866,9953.259270724187,14093.20951786641,15312.875470814817,27309.216109794597,39305.556748774376
9389.725303744619,13800.583789149217,20800.81031039375,31521.900235766057,33904.74044456416,67512.86517367713,101120.98990279008
5573.3979193132445,8010.570003873128,12355.442505515974,18998.663726437833,19638.330827835478,47269.492212839206,74900.65359784293
15316.315144296885,21908.326540197086,32809.00081382563,49129.88624538064,48863.52800504453,113392.25422319285,177920.98044134118
4333.207764193246,7098.185151881692,11767.355649946498,18973.561212624794,22788.210753671592,51567.29938834427,80346.38802301695
10931.961563880783,14925.975118296185,21278.763181081154,31201.086399474232,30445.80966646521,70001.84580876597,109557.88195106671
12666.561862141569,17967.272203503362,26910.44575623644,40799.44835236636,42120.02988220826,94137.8114752666,146155.59306832493
9020.186864570844,12855.341582462952,18714.27162524308,27815.181579575587,25979.69508283861,58844.2301161021,91708.76514936559
14625.29542066571,20670.04965068421,29990.47346969011,44253.08529719337,50694.75425932992,95098.89765502846,139503.04105072698
15099.802599646458,21850.33381897119,31774.51665615896,46713.85805235459,49267.84653494418,100204.02932587737,151140.21211681055
12285.610876022743,17125.59220803337,25403.11598030097,37774.711157900114,42242.06999599871,88913.7157065814,135585.3614171641
7309.8742194656525,11356.719375519657,18777.82470609685,30784.42728163499,37363.571385204326,93299.68852074999,149235.80565629565
