2020,2030,2040,2050,2060,2070,2080,2090,2100
42120.703639294596,51521.7920914334,61901.41963004652,73318.80134398348,85454.84062920381,97705.15197671861,110260.18257755133,124721.67276802988,140144.35473845113
61188.73900475076,79262.07458042077,100949.83786815645,126676.00025636307,156776.26075593318,191320.66444040806,230272.78996199922,273308.38315449224,319902.61334220046
114026.67988682412,137777.2565598627,164280.72517908723,193770.30889344617,226217.34179063994,261216.39680372507,298244.6865820903,336603.8666527561,375494.8370496755
118177.16305804702,144779.90330041983,174266.448020321,206853.45753683854,242426.56228257885,281082.75001516537,322807.63335953775,366318.10078343796,410627.8625100252
57890.91648670945,70938.22938091653,85251.56566003175,101203.3181010023,119171.76263031478,139149.78578484515,160995.5940270616,184557.63707609483,209905.6031409302
58407.7110262979,70846.0543685626,84588.18437777688,100019.62127246105,117321.88979666488,136817.9003849913,159082.9405748747,185090.72196723527,216545.3521421029
120546.28112282079,158389.45452353286,204674.58898904634,260596.35926803979,327290.74150256737,405392.5319869374,494973.2794158619,595437.8042780628,705475.5180660784
15073.4911337831,19797.439995914,25121.565070506138,31199.883343678717,38153.268291695116,45911.01533176208,54341.77758332443,63329.165901523505,72490.68905256632
99024.75661413322,122952.61829254047,151058.80643913106,183780.71177777578,221461.21522108157,264246.13387408794,312062.65235698875,364571.737559038,421203.34338519047
140723.7116734395,169578.09501418346,201962.71985359443,238421.1968188856,279886.39985189936,325937.57064269343,376277.64481001545,430661.0313799034,488923.3618455101
99132.7487103436,121928.86822343148,148072.20697929888,177991.62618570405,211889.9507761604,249624.87628930225,290854.61491187615,334975.77386701107,381166.5381834156
104416.9241548171,126107.87600189386,149900.70272997834,176008.6677948493,204387.03061965073,234665.7419862134,266430.2271036563,299056.6109534739,331789.06353421626
152919.0559711981,190722.367556141,234282.0581270062,284064.8178918904,340297.24874407856,402822.53778186085,471260.10858438857,544944.8230105666,622685.6746589292
65022.202213288176,82045.22780016644,101497.19026329287,123727.81238251746,149138.6077248646,177716.4160962842,209384.49002387474,243854.1433382781,280971.21588242706
