2020,2030,2040,2050,2060,2070,2080
20570.236499182705,28094.156757613975,38885.30837018521,53269.23856955145,59390.295874491654,105863.4861519547,152336.67642941774
52348.27772677115,73814.62168641175,102994.13220523593,141895.09249656502,173821.94447654282,275089.73432120896,376357.5241658751
13194.021811030643,17397.013413180324,22861.726517695384,30328.05795093538,34208.39218469949,56304.935575988246,78401.478967277
14855.814233400426,20569.373011119344,28648.868004843873,39905.49335470899,45850.24591285765,85685.58541194237,125520.92491102709
26870.51680150491,35701.55534098737,48027.6902689509,64256.422157789195,76445.33896275266,117803.90124576002,159162.46352876737
16784.376046563415,23660.360700860936,34039.52505778152,48728.29186084828,59718.94575311088,108261.20365565445,156803.46155819803
20375.48200126055,28965.752402197126,41176.384674133435,57691.592951601044,67903.74615281181,118819.24891603523,169734.75167925862
7240.540188670148,7263.479759737025,7929.591188116414,9072.570393950715,10268.887767455715,16118.074980883084,21967.262194310453
9158.613398706508,11724.602360456347,15705.690306555785,21257.60640802167,25163.95092378106,41046.87824083854,56929.80555789601
16523.96277545669,23769.970168018623,34505.041213728204,49434.18323923628,59580.14788067823,106894.4707560796,154208.79363148095
10841.186642668468,15067.19300988275,21842.916690037793,31325.494108579755,38256.27067475945,74629.6621736135,111003.05367246755
29787.94573462732,41589.977929174216,59168.041247554305,82936.17584410474,97992.66508729478,186087.48365797996,274182.30222866515
7495.754953788577,11968.24408985975,18982.02526165811,28982.304982421916,38951.735782585056,74659.48097262584,110367.22616266661
20397.280880091173,27246.216741659304,37180.205937809624,51912.994048655455,61039.36926387982,116185.96239557078,171332.55552726175
23706.604099086457,32753.383523274842,46744.61031892657,66559.41467008153,80414.0447050422,152476.59655512281,224539.14840520342
17120.76134734268,23515.476691233325,32407.105976073868,44604.80398014442,49658.24366894333,93977.05849638436,138295.8733238254
23402.291102916963,32532.680679996396,46040.05428876078,65215.68117396002,81172.10714015117,139757.17440203181,198342.24166391246
27003.920895366704,38034.94005509523,53707.33753884163,75083.15266572901,89790.73723917117,159625.78789599298,229460.8385528148
21720.66888709467,29569.85337146379,42013.264893894644,59352.7285652005,74075.00022092248,134375.18157943155,194675.36293794063
13713.318167347945,20548.858007743867,31996.855020995157,49199.496559817344,67184.98254351175,136081.2635046729,204977.54446583404
7103.710016479995,9799.65433292404,13469.864831549572,18347.68482178365,21222.626836906915,38226.63954497478,55230.65225304265
33362.14334788413,49262.08548086746,73291.00039532686,106135.74809800253,134249.96531042556,259904.72244301206,385559.47957559855
10939.361275847481,15537.40649781506,22236.938758207478,32217.13034107619,40194.322042633925,76757.24150855435,113320.16097447478
18386.41430521508,25592.128531119943,35786.79546130406,51009.97109228606,60776.12402376789,108273.93652248471,155771.74902120154
15045.208189421906,21077.0764199153,30657.26607955895,44423.9986938993,55129.62900681907,103732.12663793216,152334.62426904525
6289.095268553932,9318.762613966379,13740.48266406347,19954.987185741065,23535.226809888623,42665.00185514293,61794.776900397235
21566.04294596012,28631.866218121082,39039.59622675303,52690.85620239605,58886.40019709082,101956.87880506257,145027.35741303433
72981.65526235876,107942.8873519356,158430.05575577737,228819.0776004954,299648.89948946197,543925.377770984,788201.856052506
29175.58719250685,43003.03102633636,63110.339107146014,91508.53072069914,114405.12159568064,215615.24057909963,316825.3595625186
8490.11381938425,12263.705998160278,18188.7363052497,27012.540140532867,32595.24684842262,58673.16878576833,84751.09072311403
12692.216243810455,18086.75505524278,25972.3833792144,36396.29773519185,42826.39910822042,73533.19192413747,104239.98474005453
22223.199540217956,30538.725438211004,42358.66553577641,58489.17876365615,69454.61329977054,123579.77167804306,177704.93005631558
22431.5867029924,31793.240919715066,45849.42848244878,66245.54278699165,82475.71718532442,146798.8993155201,211122.0814457158
57274.929825301726,78941.48706262272,109119.26020850876,149947.91686044424,177292.413444053,295836.22135658463,414380.02926911623
13287.560990303486,16123.82762621503,19990.650804456145,25514.324459889573,26302.6255807607,42114.74077985587,57926.85597895104
41061.030493692815,62755.20160393307,95528.09145123532,142763.25535189954,192155.59380447966,372650.237777749,553144.8817510183
19026.10334396961,26751.694644643736,38188.05317398303,53235.88943426552,62726.51472444263,111570.08233716915,160413.64994989568
17895.707776178468,24775.834759077214,34210.76670768363,47158.49709087806,55284.94191832473,95639.82847412325,135994.71502992176
12901.887394912357,18966.13491072284,28501.572944355656,42535.94682860711,51970.7145554151,103450.48178356512,154930.24901171515
25421.340191686755,38232.58662578118,57258.275868704404,83964.83792482913,107451.3066008702,203173.50593636002,298895.7052718498
9721.443476369122,11082.128397068205,13564.607791060924,16750.158988562685,19298.340828646204,30201.318655940326,41104.29648323445
29542.676720613792,41151.39672391175,57469.486550522946,79692.14420881915,92967.89342083143,172184.74744772987,251401.6014746283
17965.773792672815,25523.873511987225,36212.81904639814,50469.90431251059,61509.36242291561,109386.02583532702,157262.68924773842
16273.430513744099,21815.00086618345,30400.949970449976,42208.49044200567,49482.79687000145,88322.85047606808,127162.9040821347
