2020,2030,2040,2050,2060,2070,2080,2090,2100
9019.50864637887,12418.40649654386,20184.140081685982,29697.272989166453,38639.45845578094,47357.94148067273,56150.67251883666,64889.06825376483,72491.63097980656
18857.683784327302,26294.958115083406,37619.895926570905,50726.82280943399,63174.84598020147,75000.49978060505,85736.25192212233,95556.25725705417,105982.2559900663
7750.681504327944,8952.227049602381,12469.219150948966,17381.526436171425,22094.434292352576,26617.072569133226,29958.697080930913,32709.52621759091,38157.37786361462
7814.947135769514,11411.767889687031,17069.56177964758,23606.21195072084,29948.959591444276,35733.71994459592,40977.68830960573,46176.951134911964,51661.44057202352
4895.170586405607,8661.885917128602,12707.9672501729,18091.397698562327,24206.69249644504,30226.932428364147,34753.43636177767,39593.61286148992,48162.39055655401
8293.631377416074,14472.721381978581,18550.405884802265,23428.578751936668,29205.22446385358,34194.93922811707,36268.80875082355,39262.170202656045,47919.88990514327
4482.741242916503,8122.382883983669,10592.860071330126,13536.97139819258,16606.072727125495,19344.957259687613,20643.5767512485,21546.423472320403,24134.07495384794
6455.238248186588,9591.73519991908,12286.150789338526,15681.903389525576,18750.68243528734,21278.395380901413,21826.303008281895,22818.34152334847,26215.59643851751
5609.966449634387,5706.584608186857,9761.45799159459,15080.092727284828,19440.26781551271,23822.29689235414,26946.762312044008,29683.372050760787,34366.141169132825
2090.5510440251296,4689.729098763331,7130.224368183068,10586.59478132921,14544.754324959793,18120.629854440584,19776.905720359202,21462.620798630433,27648.934801331055
2660.5389812832714,6304.182622623488,9694.65552815912,14872.022070620205,19579.840159498104,24038.50065331081,26646.40054483058,28458.41027923838,33298.50951726816
-682.5332091476333,2826.480115737967,3682.5878608022163,5284.741950771449,6698.3976332473,7670.930479858462,2587.9708668963685,-326.7719057068887,4891.153728154242
552.0236408313335,3128.7100017165712,4044.686305531812,5624.390893086162,7335.387697409468,8832.79401204077,8420.191683893196,7125.8247159191915,13559.549355412419
5634.219208267168,7172.271490236982,11925.184182444491,18010.92222761062,23688.053821177247,29277.97240751588,34739.81061922696,40149.436523435324,45931.82599412178
5380.138096378675,9460.89209982505,13562.438391631982,18434.50491934521,24084.599734027423,30142.49586931411,35311.542005433526,39500.493595694694,45593.63737205332
4268.813337168489,6398.743293946466,9773.827758200925,13525.825363474003,17199.55940982541,20631.133227290728,23397.844335640697,25720.11889591934,28048.827545267945
